id,name,bookmark_count,icon_path,latitude,longitude
55,빙봉,0,/home/ubuntu/projects/env/image/빙봉_gen_new_image.jpg,37.5468649,127.0404691
56,빠오즈푸 서울숲직영점,0,/home/ubuntu/projects/env/image/빠오즈푸 서울숲직영점_gen_new_image.jpg,37.545944,127.0461964
57,뽈로파스타 서울숲,0,/home/ubuntu/projects/env/image/뽈로파스타 서울숲_gen_new_image.jpg,37.5472717,127.0403748
58,산도스 성수,0,/home/ubuntu/projects/env/image/산도스 성수_gen_new_image.jpg,37.5476664,127.0396657
59,살라댕템플,0,/home/ubuntu/projects/env/image/살라댕템플_gen_new_image.jpg,37.5400046,127.0597092
60,샤블리 성수서울숲점,0,/home/ubuntu/projects/env/image/샤블리 성수서울숲점_gen_new_image.jpg,37.5469076,127.0438842
61,서울숲누룽지통닭구이,0,/home/ubuntu/projects/env/image/서울숲누룽지통닭구이_gen_new_image.jpg,37.5469641,127.0444086
62,서울숲포도피자 성수,0,/home/ubuntu/projects/env/image/서울숲포도피자 성수_gen_new_image.jpg,37.5469067,127.0431174
63,성수AGU,0,/home/ubuntu/projects/env/image/성수AGU_gen_new_image.jpg,37.5482569,127.0485104
64,성수다락,0,/home/ubuntu/projects/env/image/성수다락_gen_new_image.jpg,37.5399244,127.0562313
65,성수명당,0,/home/ubuntu/projects/env/image/성수명당_gen_new_image.jpg,37.5410713,127.0627365
66,성수신데렐라,0,/home/ubuntu/projects/env/image/성수신데렐라_gen_new_image.jpg,37.5461544,127.0549498
67,성수온실 성수본점,0,/home/ubuntu/projects/env/image/성수온실 성수본점_gen_new_image.jpg,37.546851,127.0468581
68,성수족발,0,/home/ubuntu/projects/env/image/성수족발_gen_new_image.jpg,37.5460109,127.054296
69,세븐버거스 어 위크,0,/home/ubuntu/projects/env/image/세븐버거스 어 위크_gen_new_image.jpg,37.5471144,127.0454432
70,소랑호젠,0,/home/ubuntu/projects/env/image/소랑호젠_gen_new_image.jpg,37.5426627,127.0451987
71,소문난성수감자탕,0,/home/ubuntu/projects/env/image/소문난성수감자탕_gen_new_image.jpg,37.5428851,127.0544297
72,소바식당,0,/home/ubuntu/projects/env/image/소바식당_gen_new_image.jpg,37.5430133,127.0549953
73,소인수서울 본점,0,/home/ubuntu/projects/env/image/소인수서울 본점_gen_new_image.jpg,37.549707,127.044548
74,스시도쿠 더성수,0,/home/ubuntu/projects/env/image/스시도쿠 더성수_gen_new_image.jpg,37.5476275,127.0430461
75,시옹마오,0,/home/ubuntu/projects/env/image/시옹마오_gen_new_image.jpg,37.543437,127.0544336
76,신기루오뎅바,0,/home/ubuntu/projects/env/image/신기루오뎅바_gen_new_image.jpg,37.5385886,127.0545346
77,신사소곱창 성수점,0,/home/ubuntu/projects/env/image/신사소곱창 성수점_gen_new_image.jpg,37.5460135,127.0545884
78,심퍼티쿠시 성수점,0,/home/ubuntu/projects/env/image/심퍼티쿠시 성수점_gen_new_image.jpg,37.5463387,127.0535209
79,싹쓰리곱창,0,/home/ubuntu/projects/env/image/싹쓰리곱창_gen_new_image.jpg,37.5384547,127.0558862
80,쎄콩데live,0,/home/ubuntu/projects/env/image/쎄콩데live_gen_new_image.jpg,37.546525,127.0423527
81,앤드밀 성수점,0,/home/ubuntu/projects/env/image/앤드밀 성수점_gen_new_image.jpg,37.5442379,127.0513749
82,어라운드데이,0,/home/ubuntu/projects/env/image/어라운드데이_gen_new_image.jpg,37.5467956,127.0413024
83,엘더버거 성수,0,/home/ubuntu/projects/env/image/엘더버거 성수_gen_new_image.jpg,37.5462733,127.0430116
84,연남토마 성수점,0,/home/ubuntu/projects/env/image/연남토마 성수점_gen_new_image.jpg,37.5470052,127.0423617
85,오뜨로 성수,0,/home/ubuntu/projects/env/image/오뜨로 성수_gen_new_image.jpg,37.5439991,127.0465742
86,오마카세 오사이초밥 성수직영점,0,/home/ubuntu/projects/env/image/오마카세 오사이초밥 성수직영점_gen_new_image.jpg,37.5448271,127.0515523
